colorIdentity,convertedManaCost,coloredManaCost,power,toughness,rarity,types,uuid,text,releaseDate
W,3,1,2,2,common,human knight,62365fbb-af07-5c2a-976d-e3092bdfc317,flash firststrike,7/13/2007
U,5,2,4,4,uncommon,elemental,76ddd7f5-1a84-55d5-98f5-4883c217e0d8,flying,7/13/2007
B,4,1,3,3,uncommon,wraith,ac084dab-6ac0-55fa-94b7-e009fede9012,swampwalk,7/13/2007
U,3,1,2,2,common,merfolk,f1eba89f-dd82-5843-80a9-e9b2cd3a6037,islandwalk,7/13/2007
W,5,2,4,4,rare,angel,be665b02-1cf2-50c6-8861-85da921bc853,flying vigilance,7/13/2007
B,4,1,5,1,common,zombie crocodile,fea2ad06-355d-5a9a-822d-66275d89cad9,,7/13/2007
B,3,1,2,1,common,imp,42022e6f-e123-54a6-84df-ec826b13f5be,flying,7/13/2007
B,1,1,1,1,common,insect,a29c83ec-1698-5321-b89f-06b782674335,swampwalk,7/13/2007
B,3,1,2,2,common,zombie,8c2f219b-5122-52b2-940c-988c5818d788,,7/13/2007
B,3,2,2,2,common,zombie,e9cf9c31-aa62-53f4-bff2-71cd5e2f4004,fear,7/13/2007
R,4,1,2,3,common,minotaur,5119e249-f9be-56b3-9deb-72d7cba52ea8,firststrike,7/13/2007
U,1,1,1,1,common,human wizard,4492a8f1-a2bf-581a-9ee0-e488f9241c88,,7/13/2007
U,2,1,1,3,common,human wizard,cb8e5b8f-706a-5b09-884e-ed32ceeec0fd,,7/13/2007
U,6,2,5,6,rare,djinn,404d6f98-eefb-5dea-8e81-aed2b5956437,flying,7/13/2007
R,2,1,2,1,common,goblin warrior,c0258169-1e97-55b4-8513-427baf8fe898,,7/13/2007
R,3,1,1,2,common,goblin warrior,bc3a62a0-3be0-553f-bf42-a10e954c815f,flying,7/13/2007
R,4,1,3,3,common,giant,39f4ab79-50be-53cd-b422-354d0b320126,,7/13/2007
R,4,1,4,1,common,elemental,0c77c055-2d74-5328-b3b1-eb4f9e1ad63f,haste,7/13/2007
B,5,2,5,3,common,zombie warrior,93ee4f89-0cd1-50a1-9525-401e2fccd32a,,7/13/2007
R,5,2,4,5,uncommon,elemental,4bdb6002-18d3-5a09-a94c-da7796980b83,,7/13/2007
R,1,1,1,1,common,goblin berserker,b91e7385-f4a8-5d1b-ac43-23857284e185,haste,7/13/2007
R,5,1,3,3,common,badger beast,c371ba25-9ad2-5650-af82-98c534ec327a,mountainwalk,7/13/2007
G,2,1,1,3,common,spider,34f1354b-31a3-5ff2-8ee3-70df534c7b1b,reach,7/13/2007
G,6,2,6,4,common,wurm,93c6c384-3214-5eee-ab55-c3bbcfae5472,,7/13/2007
G,7,1,7,7,uncommon,beast,1ebad7f2-d761-56b8-81ae-1e0225968026,,7/13/2007
G,4,1,2,4,common,spider,033917bc-01f6-5202-93af-d56bde440b45,reach,7/13/2007
G,2,1,2,2,common,bear,b49d7ef1-e841-5647-8590-4857eca7e8bd,,7/13/2007
G,3,2,2,3,rare,cat warrior legendary,21edc41a-e830-58d0-80b5-85eabe32d0d7,firststrike forestwalk vigilance,7/13/2007
G,3,1,3,1,common,insect,a840ae9a-5214-52fe-83de-73559845536b,shroud,7/13/2007
W,4,2,2,3,common,cat knight,db398a18-0d81-50ba-bc86-a7de52a1be7f,flying firststrike,7/13/2007
G,2,1,2,1,common,dryad,e737e5cd-43e1-5a29-a977-fbb673c6367c,forestwalk,7/13/2007
